 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Male, United-States, <=50K
 Self-emp-not-inc, 10th, Divorced, Sales, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 9th, Never-married, Machine-op-inspct, White, Female, Nicaragua, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, Mexico, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, 11th, Divorced, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 10th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Local-gov, 12th, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, Puerto-Rico, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, Asian-Pac-Islander, Male, Taiwan, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, White, Male, Italy, >50K
 Private, Bachelors, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Tech-support, Asian-Pac-Islander, Male, United-States, <=50K
 Local-gov, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 12th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Black, Male, ?, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Prof-school, Never-married, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Male, ?, <=50K
 Private, HS-grad, Never-married, Sales, Asian-Pac-Islander, Male, South, <=50K
 ?, Bachelors, Never-married, ?, Other, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, Mexico, <=50K
 ?, Some-college, Never-married, ?, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, Dominican-Republic, <=50K
 Private, 10th, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Female, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Sales, White, Male, United-States, <=50K
 State-gov, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-inc, 11th, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, ?, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, ?, <=50K
 Self-emp-not-inc, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Exec-managerial, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Black, Female, Jamaica, <=50K
 Local-gov, Bachelors, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
